start	end	text
2811000	2831000	Powiedziałem, że już z doświadczeniem moim nie ma możliwości, żebym ja sobie w Londynie czegoś nie znalazł, więc podjęliśmy decyzję, że się przenosimy do Londynu, co będzie bliżej, jak mama gdzieś tam w Gloucester, w Straude w zasadzie i to będzie po drodze bardziej, jedna wyspa mniej.
2831000	2843000	Mieliśmy też auto, przejażdżka, autem zapakowanym całym, jak ludzie z trzeciego świata na promie przewaleni, po prostu hardcore.
2843000	2854000	Przenieśliśmy się do Londynu, ja już w tym czasie zdążyłem połapać sobie pracę dla dużego konsultanta, znowu jakiejś tam konsultingowej dużej firmy, która się nazywała Cyber.
2855000	2860000	I oni mieli trochę dziwne jakieś sytuacje, że mieli taki super monopol na Dynamicsa.
2860000	2864000	I byli w sumie najwięksi w UK, jeśli chodzi o obstawienie Dynamicsów.
2864000	2868000	Oni robili najwięcej banków, jakichś tam tematów.
2868000	2870000	Monopol na całą Anglię praktycznie.
2870000	2871000	Tak.
2871000	2879000	Dziwnie, bo ja też wpadłem, i to było też takie dziwne, że łatwo jest znaleźć w firmie takiej konsultingowej ci pracę, bo oni mają wiele projektów.
2879000	2885000	Więc ja przyjeżdżając tam, obsadzili mnie na projekt, to był prywatny bank, Seahorse Bank.
2885000	2896000	Chyba drugi czy trzeci najstarszy na świecie, gdzie rodzina właścicieli, założycieli tych pierwotnych ciągle jest partnerami banku,
2897000	2901000	w ogóle zupełnie inny świat, w City, w Londynie.
2901000	2922000	I znowu sytuacja taka, że tam nie było casual Fridays, cały czas podpięty, po sam komin, garnitury, krawaty i po prostu mówię, no jak, przecież my z IT na zasadzie...
2923000	2928000	Ale to też warto powiedzieć, że to nie był chyba zwykły bank, prawda? Nie taki ogólnodostępny?
2928000	2943000	Nie, nie, nie. To był bank, to już się zauważyłeś. Generalnie tam jest tak, że jednak oni są bardziej formalnie ubrani, mimo że pracujesz w banku i tak dalej, jednak w tym City, czy na Kanarach, w tym Londku się chodzi bardziej formalnie.
2943000	2954000	Ale rzeczywiście ten bank, to nie był bank, w którym mogłeś sobie, nie wiem, założyć konto z ulicy. Trzeba było mieć albo referencje, najlepiej królewskie, albo jakimś aktorem być i tak dalej.
2954000	2965000	Też sporo kasy na koncie od razu trzeba było wcisnąć i tak dalej, żeby w ogóle być. To jest prywatny bank, tych banków nie ma aż tak dużo w tym private banking sector w Londynie.
2965000	2972000	W ogóle dowiedziałem się, że takie coś istnieje i funkcjonuje. No ale przez ten cyber mnie tam rzucili, a tak naprawdę ja z cyber nie miałem nic do czynienia.
2972000	2981000	To było na zasadzie, położyli mnie na ten projekt i jakiś tam menedżer raz na miesiąc, jak się pojawił, to się pojawił, a jak nie, to nie. Ja już sam to ogarniałem.
2982000	2995000	I to był w sumie pierwszy raz, jak udało mi się wejść na jednego takiego klienta, w którego robiłem full time. Nie było sytuacji, w której ja byłem, wiesz, rozgarnię, na przykład byłem na pięciu projektach.
2995000	3004000	Jak byłem w Polsce, to byłem na ośmiu. Tu robiłem jakiś pre-sale, tam robiłem jakieś funkcjonalności w kodzie, coś tam. W Dublinie znowu też tak było, przez to, że to był konsulting.
3004000	3018000	Oni tam wyciskali z ciebie śruby, jak się dało, śruby SOKI. I tam trzeba było robić na przykład, nie wiem, właśnie ten jeden generali, później gdzieś tam mnie wysłali na południe do tego KORK, jakiś zupełnie inny system, jakiś coś tam.
3018000	3031000	Była straszna, duża dynamika, ale też super nauka, bo każdy projekt jest zupełnie inny. Niby ta sama platforma, a platforma jest tak złożona, że tam możesz mieć, wiesz, tu masz takie integracje, tam masz takie.
3031000	3034000	Tam byli tacy deweloperzy, tam byli tacy ludzie, wiesz.
3034000	3036000	Mówisz o Dynamicsie cały czas, tak?
3036000	3051000	Dynamics bardzo rzadko jest sam z sobą. Dynamics zawsze jest częścią integralną większej grupy systemów i to jest pewnie najtrudniejsze, bo ludzie, pewnie będziesz się spotykał z opiniami, że Dynamics jest ciężki, że to jest drogi i tak dalej.
3051000	3067000	Drogi nie jest. Jeżeli chcesz go obsadzić całym, chcesz go zrobić corem do wszystkiego, to tak, no to musisz mieć złożone integracje, musisz mieć, wiesz, to się pojawia, rzeczywiście pojawiają się przeszkody.
3068000	3081000	Szybko przeleć ten temat cyber. Cyber było krótko, później w zasadzie przeszedłem bezpośrednio do tego Seahorse Bank. Ja miałem swoją spółkę założoną już w Irlandii, w sumie pracowałem przez Umbrella.
3081000	3083000	Czyli podkradli cię tam, tak?
3084000	3104000	Podkradli mnie, ja tam miałem akurat taką możliwość, że cyber generalnie oni się też chyba przeskalowali i ta firma, właściwie takiej ogromnej firmy na zasadzie, że miała najlepsze projekty, oni nie byli duzi, oni mieli po prostu najlepsze projekty i zniknęli.
3104000	3123000	Tam puknęli ich po prostu jakieś inne konsultingowe firmy. Ja przeszedłem tam bezpośrednio do tego Seahorse Banku, chyba robiłem tam ponad trzy lata czy cztery jako B2B, na zasadzie swoje limited company w Londynie czy w UK założone i dla nich realizowałem projekty.
3123000	3136000	To był pierwszy taki projekt prawdziwy, w którym też trafiłem na super gości. Jeden entuzjasta ogromny, Colin taki, który obecnie tam jest CEO gdzieś w jakiejś dużej firmie, on był entuzjastą agile'owym.
3136000	3151000	Wiesz, na zasadzie jakiejś rysowanki. Po prostu się zajarał i stwierdził w tym starym banku, zróbmy jakąś rewolucję, innowację, na zasadzie przestańmy latać od biurka do biurka, zróbmy po prostu wszystkie ceremonie agile'owe.
3151000	3164000	Tak naprawdę i tam zacząłem też się trochę jarać agile'em, zacząłem czytać o tym, że mówię no co to takiego jest, z czym to się je, wcześniej słyszałem, że są technologie zwinne, ale nigdzie to nie funkcjonowało na tyle.
3164000	3176000	No może jeszcze w naszej firmie w Polsce, pamiętam my tego agile'a robiliśmy, tylko że to nie był taki prawdziwy agile, dlatego że jak robisz coś in-house'owo w ramach firmy i później coś tam wysyłasz, to i tak jest zawsze waterfall.
3176000	3183000	Zbierasz wymagania, mieliśmy zawsze tak, że zbieraliśmy wymagania, 100 stron wymagań i teraz to kodzimy i na końcu wszystko jest źle.
3184000	3185000	W skrócie.
3187000	3196000	A tam rzeczywiście to było takie coś, że wiesz, to były inkrementacje, tam były sprinty, my tam sobie lecieliśmy, dobra, biznes mówił, róbmy to, róbmy tam, to prawda, to on to prożeryzował.
3197000	3219000	Był już taki true agile, był jeszcze też super taki gościu Steve, który był tam project managerem, który to fajnie zarządzał, takim scrum master'em w zasadzie później, bo jak już to wszystko było agile, to naturalnie był tym scrum master'em, też umiał ogarniać i techniczne tematy jakby jak trzeba było, mimo że nie był techniczny.
3220000	3242000	No i to była super przygoda i tam też jakby dynamics sporych rozmiarów, ogromne integracje właśnie z SharePointami, z jakimiś SQLami, wszystko. Kasa, miodzie, też promocje w ramach tej co sześć miesięcy, słuchajcie, ja muszę więcej, ja muszę się utrzymać, Londyn mi się podoba.
3242000	3243000	Jest drogo.
3243000	3244000	Jest drogo.
3244000	3245000	Cholernie drogo.
3245000	3248000	Dokładnie, mieszkania też mi się podobają fajniejsze.
3250000	3257000	No i rzeczywiście tam sobie pracowałem, ale jak to na kontraktach, zawsze jest krótki ląd.
3258000	3275000	Jeżeli jesteś na kontrakcie dłużej niż pięć lat, to firma zaczyna się zastanawiać, nie, nie, hola, hola, co tu się dzieje, tak, gościu. Raz też z punktu widzenia jakby formalnego, prawnego stosunek pracy i tak dalej, oni mogą już się później przyczepić, więc wolą to ryzyko minimalizować i po prostu cię autują.
3276000	3286000	Więc zawsze to jest tak, że ten kontrakt jest zmiany, tak, zmiany, zmiany, zmiany. No i co? I później, nie wiem czy mnie ciągle dobrze słychać czy nie.
3286000	3291000	Świetnie cię słychać. Chłopaki tu dobrą robotę zrobili, w Paranofilms jesteśmy.
3292000	3293000	Dziękujemy bardzo.
3293000	3294000	Ale dziękujemy za obsługę.
3294000	3295000	Tak jest.
3295000	3306000	No tak, czyli jesteś już w Anglii, jesteś już na wysokim szczeblu, jesteś architektem, odpowiadasz za Dynamicsa praktycznie tak na całym banku.
3306000	3319000	No to było śmieszne, że jak przyszedłem do Dublina, to tam to nie było, ja nie byłem żadnym architektem, nie robiłem żadnych pre-sale, ja tam wpadałem, w Dublini już wpadałem, ja kupiłem po prostu człowieka od brudnej, ciężkiej roboty, tak.
3319000	3334000	Wpadam, implementacja, mocno hands on, tak, czyli jeżeli chodzi o implementację jakiejś tam funkcjonalności w ramach tego Dynamicsa, przeniesienie tego, nie wiem, z On Prema do chmury, migracje, tego typu rzeczy.
3334000	3343000	No to tam się tym bawiłem tak jakby już, pracowałem sam, tak jakby ja to robiłem, tam nie trzeba było nic projektować, jakieś diagramy i tak dalej.
3343000	3360000	Znowu przechodząc już później do tego Seahorse Banku, tam też za mała skala, znaczy za mała skala, ja tam byłem mocno hands on, ja tam pisałem ciężkie pluginy w C Sharpie, Javascripty, no po prostu jakby byłem technicznym leadem,
3360000	3372000	jakby tam powiedzmy wszedłem jako, w zasadzie od początku jako techniczny lead, tam było też trochę z osobą z Indii, bo tam Cyber chyba miał wciągnięty z Indii też jakąś komórkę offshore'ową,
3372000	3381000	czy nawet jakaś inna firma tam była, więc ja tam wszedłem na tego team leada, ale tam nie było takiej przestrzeni jakby czy chęci, czy wizji, że potrzebny jest powiedzmy architekt,
3381000	3395000	tak po prostu ktoś, kto się zna na temacie i, aha nie, sorry, byli architekci, ale jakby z zewnętrznych teamów, oni rzeczywiście doglądali to jakby całe holistycznie, ja tam jeszcze nie byłem, nie pełniłem takiej funkcji.
3395000	3400000	Dopiero, ale mi to nie robiło, tak, no bo kasa się zgadzała.
3400000	3419000	No tak, byłeś specjalistą od brudnej roboty, po prostu było tej brudnej roboty dużo zrozumienia, bo technologia się szybko rozwija, wiadomo wiele niuansów co chwilę się pojawia, tak i mi się wydaje, że też ciężko było znaleźć kogoś takiego generalnie, stąd mi się wydaje duże wynagrodzenie za taką robotę.
3420000	3434000	Tak, tak, bo to też jest jednak niszowe, to w tamtych latach to ciągle było, bym powiedział, czy może nie niszowe, no duże korporacje wszystkie jakieś tam, bo duża część korporacji zawsze jakiegoś CRM-a ma,
3434000	3451000	czy to Salesforce-a, czy to Dynamics-a, czy SAP-a jakiegoś tam, powiedzmy, nie wiem czy z SAP-em możesz nazwać, z CRM-em, ale powiedzmy jakieś tam rozwiązanie takie core'owe, back-endowe, back-office'owe, więc ERP czy tego typu rozwiązania.
3451000	3469000	Więc wiadomo, że oni tych specjalistów mają tam powiedzmy więcej, bo Londyn jest kierunkiem zewsząd, wydaje się, że tam jest dużo więcej tych rozwiązań, ale też jest dużo więcej, w sensie firm, które mają te rozwiązania, ale też jest dużo więcej jednak konkurencji.
3469000	3485000	Tam masz, wiesz, cały świat zalewa Londyn i ten finance cały. Ja akurat specjalizowałem się, przypadkowo po prostu wpadłem na finance banking i w zasadzie z tym bankingiem siedzę już dosyć sporo lat.
3485000	3504000	I tak naprawdę później, jak już ten projekt się zakończył, to gdzieś trafiłem jeszcze do takiej firmy na chwilę Brewed Dolphin, czyli to jest wealth management, czyli to jest takie zarządzanie twoim bogactwem w skrócie, to jest taki znowu firm…
3504000	3506000	Problemem bogatych ludzi to związywałeś, tak?
3507000	3522000	Znaczy ja nie musiałem się tym zajmować, bo ja nie byłem żadnym portfolio managerem czy jakimś takim, ale my robiliśmy dla nich system, czyli oni mieli bazę swoich klientów w tym systemie, mieli różne procesy back office'owe typu onboarding'i i tak dalej.
3522000	3543000	Jak taki klient się pojawiał to trzeba było przejść przez ten proces zdygitalizowany i do tego wykorzystywaliśmy ten Dynamics'a. Też fajnie, ja tam byłem w ogóle, bo oni nie wiedzieli co to jest Agile, po moich latach z Agile jakby mogłem to przekuć, w sensie raz, że mówię, że się szkoliłem, dosyć mocno czytałem tych tematów, no to tam też trochę…
3543000	3564000	Aha i tam już poszedłem na architekta typowo, tam miałem swoich, może to brzydko brzmi, ale w zespole mieliśmy ludzi, którzy po prostu zajmowali się typowo kodzeniem tego, a ja już miałem być architektem i od proponowania rozwiązań i tak dalej, czy to ma być w tą stronę, czy takie rozwiązanie, czy to ma być SharePoint, czy to jednak zostaje w Dynamics'ie i tak dalej.
3565000	3586000	No ale tam też jakby przez moment robiłem taki coaching jeśli chodzi o Agile, tam wiesz prezentacje, żeby ten biznes zrozumiał co to jest, bo był jakiś tam niby Scrum Master, który nie wiedział w ogóle co robi, był Product Owner, który nie wiedział od czego to jest, jakby trzeba było fundamenty najpierw zrobić i rzeczywiście tam chwilę się nad tym pochyliłem.
3586000	3615000	No a w międzyczasie wiadomo, trzeba było tam coś projektować, ale w tym momencie, to już właściwie będzie zaraz koniec mojej historii jeśli chodzi o Londyn, w tym momencie pojawia się jakiś agent, który mnie werbuje, mówi, że ma dosłownie po trzech miesiącach brewing dolphin, dzwoni do mnie, że słuchaj, Microsoft szuka konsultantów, architektów.
3617000	3618000	W Dynamics'ie.
3619000	3626000	Microsoft z Reading, Londyn, w sensie London, UK powiedzmy, to od razu wiesz.
3627000	3628000	Tak, końców.
3628000	3635000	Mój wujek, to jest mój gral wiesz, no w zasadzie jak Microsoft się do mnie odzywa i to jeszcze z UK, to mówię, no to jest niemożliwe.
3636000	3644000	Spójrz, wiesz, mówię, ja mówię przecież, ja chciałem być przecież networkinga, nie, wiesz, jakieś kurde lany chciałem spinać.
3645000	3662000	I wiesz, i sobie myślę, no to, no i trzy miesiące jestem w tej pracy, wszystko się pięknie rozwija, Brewing Dolphin to super firma jeśli chodzi o innowacje, bo mieli już na tamtym etapie dopiero teamsy wchodziły, oni mieli już teamsy wiesz, w pokojach, w salach konferencyjnych, tam, że mogłeś bookować, widziałeś kto jest.
3662000	3681000	Wiesz, jakby widziałem od razu, że tam jest parcie na innowacje, Dynamics tam też online'owo wszystko i tak dalej, no chcieli wszystko nowe, kasy mieli oczywiście sporo, lokalizacja City, odpowiadała mi jak cholera, dopiero zacząłem, układało mi się super tam z tymi menedżerami.
3682000	3705000	Jako konsultant ja byłem, znowu mówię tutaj B2B, ja tam nie byłem nigdzie zatrudniany, tylko miałem tą swoją powiedzmy jako kontraktowiec, ciągle ten B2B mnie bardziej kręcił, model, no ale pojawia się Microsoft i mówię, no im się nie odmawia, no wiesz, to są moi ludzie w końcu, lasuję tego Windows Phone'a od wielu lat i się nie udało, więc spróbujemy.
3706000	3720000	No i odbyłem z nimi rozmowę i oni w ogóle, to był taki ciekawy temat, bo Microsoft szukał architekta typowo do security model dla wielkiego banku.
3720000	3738000	Nie mówię oczywiście dla kogo, ale ogromny rollout dla 50 plus krajów, mnóstwo ludzi, największe drużenie Dynamics'a, chyba to było jak ogólnie na świecie, to przynajmniej w finansówce, sektor bankowy typowo.
3738000	3755000	To mówię, kurczę, no dobra, rozmowa z Microsoftem, jedna, druga, dosyć szybki temat był, bo oni potrzebowali bardzo szybko gości, tam się wykruszyli, okazało się, że nie wytrzymali presji ludzkich, którzy byli w tym Microsoftie, stwierdzili, że oni tego nie będą robić, bo trafili na ścianę.
3755000	3779000	Nie tyle ścianę techniczną, ale żeby przegadać te tematy, żeby właśnie te soft skille, żeby tego klienta tam gdzieś zmiękczyć, żeby on rozumiał, że gdzieś trzeba iść na kompromis, że to, za co zapłaciliście mnóstwo pieniędzy, za to wielkie rozwiązanie, to nie wszystko, to nie będzie w stanie wam wszystkiego dać, to trzeba umieć pójść na ten kompromis.
3779000	3803000	No i tą rozmowę przyszedłem, super się przygotowałem do security, w zasadzie wcześniej takiego super wielkiego nie robiłem, to było też najśmieszniejsze, tylko że wiedząc, że to będzie security, to ja tam, wiesz, tydzień, dwa po prostu full time POC jakieś coś tam, cały ten model to nie jest jakiś skomplikowany tak bardzo na tej platformie, więc wąski temat, mówię, pękniemy to i tyle.
3803000	3831000	No i na rozmowie spodobałem się tym gościom z Microsoftu, no i poszła nam dobry windolfin, mówię, słuchajcie, Microsoft mi daje ofertę, ja miałem znowu, jeśli chodzi o kasa to high end, właściwie to też jest ciekawe, że w tym kontraktingu masz pewne limity, ogólnie wszędzie masz pewne limity, które gdzieś tam widzisz.
3834000	3857000	Ja z moją naturą ciągłych zmian, chęci nie mogę usiedzieć, wiesz, widzę, że to już jest ta bariera, ewentualnie co mnie może zachęcić to jakiś super wielki challenge, to był taki challenge, wiesz, Microsoft, mówię, trafia na pewno na najlepszych kurde ludzi i tak dalej, po drugie jakiś ogromny projekt, mówię, lecimy z tym.
3858000	3871000	No i musiałem pójść do nich i powiedzieć, że słuchajcie, jest jak jest, ja bym normalnie nie zrezygnował, ale to się może stać, wiesz, raz w życiu, że ci zaproponowali tak z ręki i nie muszę, wiesz, stwierdziłem, że biorę to.
3871000	3882000	Rozstaliśmy się w dobrych w sumie relacjach generalnie tam, jakiś, wiesz, living do było konkretne w CT, więc…
3882000	3896000	No ciężko Ci się dziwić, nie, mi się wydaje, że każdy pracodawca, wiesz, widział po Tobie, że jesteś ambitny, że chcesz ruszać dalej i trafiła Ci się super opcja, tak, od Microsoftu dla banku.
3896000	3912000	Tak, tylko że to było trochę inaczej, bo wiesz, oni nie byli moimi pracodawcami, ja byłem, wiesz, jako satelita na kontrakcie, czyli ja podpisując kontrakt, podpisujesz go na sześć miesięcy, jest wypowiedzenie dwa tygodnie i możesz rezygnować, jak Ci się nie spodobało.
3912000	3920000	Generalnie tak mogłbyś zagrać, że taka jest forma kontraktowa, że oni nie mają pewności, ani my nie mamy pewności, oni też mogą mi podziękować.
3920000	3933000	Już mi się też tak zdarzyło gdzieś tam na jakimś projekcie, że w grudniu musiałem siedzieć na tyłku i szukać tematów, bo nic nie było, a koszta były ładne w Londynie, jakby już żyjąc na pewnym poziomie.
3933000	3952000	No i wziąłem to na klatę, jakby mówię, dobra, jest challenge, lecimy i Kanary Wharf, to jest HCS, czyli Eighth Canada Square, największy taki budynek, jeden z większych budynków, przyjeżdżasz tam, mówisz, jaki jesteś malutki.
3952000	3954000	Tak, widać go z daleka.
3954000	3966000	Kwadrat taki ogromny, czyli 50, chyba 7 pięter, widok na cały Londyn przepiękny, trafiasz tam na dole, gdzieś w recepcji ktoś Cię wita, ja pierwszy raz poznaję ludzi z Microsoftu, siema, siema.
3966000	3976000	Oni mi pokazują ludzi i klienta, że tutaj będziesz robił, wszyscy wiadomo, krawaty, te sprawy, ale to już byłem przyzwyczajony, więc nie robiło.
3976000	3999000	No i co, no i tam zacząłem przygodę, no i tam projektowaliśmy, i tam się tak naprawdę dowiedziałem pierwszy raz, co znaczy architekt, bo z całym szacunkiem do polskiego rynku, czy do projektów mniejszego kalibru, to jest ta możliwość, że taki tech lead, który jest ogarnięty i który ma te skillsy, jest w stanie to ogarnąć.
3999000	4016000	Tam po prostu nie było możliwości, żebym ja był hands on, żebym ja mógł coś robić fizycznie, bo my mieliśmy 260 ludzi na projekcie, tam było 6 czy 8 podów, każdy pod miał, to był scrum team, który miał swoje różne rzeczy robić, ci robili takie funkcjonalności, tamci robili coś.
4016000	4036400	Ja trafiłem pod security, ja byłem tam architektem, my mieliśmy Indie, mieliśmy w UK, mieliśmy Chiny, mieliśmy US, ogromne, no mówię, to było wdrżenie na 52 kraje, jedna instancja Dynamicsa, bankowości, najbardziej wrażliwe dane na świecie,
4036400	4046960	tak zwane material non public information, czyli których wiedza o pewnych dealach może wpływać na giełdę.
4046960	4052000	Bardzo wysoki, high level, top, top.
4052000	4079000	Tak, no bo oni tam, wiesz, to jest bank, który robi transakcje, na zasadzie jedna firma kupuje drugą za dwa miliardy. Jak wiesz o tym miesiąc wcześniej, no to sorry, ale możesz dużo zarobić, więc klimat nieziemski i stąd tam trzeba było zaproponować najbardziej możliwie skomplikowany, złożony, bo to było w chmurze,
4079000	4101000	więc żeby się w ogóle zgodził, Microsoft jakby strasznie chciał to puścić, żeby to poszło live, no bo jak to pójdzie live, no to wiadomo, że zaraz to kaskadowo poleci po innych bankach na zasadzie, no jak oni weszli z takimi wrażliwymi danymi, to każdy może wejść, bo oni przeszli przez compliance tam, wiesz, przez działy prawne, czy to może, czy to nie może,
4101000	4129000	jeżeli chodzi o te aspekty data residency, data, wiesz, czy może to być w tej instancji, czy nie może, jak to musi być zabezpieczone, kto może to widzieć, konkretne reguły, no mówię, skomplikowany projekt, tak dla tylko taki product owner właśnie od tego Andrew, zresztą kolega od security, to z tego co pamiętam, to BRD, czyli to Business Requirements Document
4129000	4158920	miał chyba ze 100 stron, same wymagania biznesowe pod kątem security na jednej platformie i to trzeba było jakby skumać, zrozumieć i przełożyć potem to na rozwiązanie dynamicsowe, czyli zaproponować, wiesz, i też często, niejednokrotnie pójść na kompromisy, że słuchajcie, no pushback tutaj, pushback tam, że nie możemy tego zrobić, no bo będziemy szli za bardzo w custom, a generalnie jak skończyło się to tak, że rzeczywiście poszliśmy live,
4158920	4186920	potem byłem już przerzucany na jakieś integracje, mnóstwo systemów integrujących się, wiesz, jakby skala tego rozwiązania była taka, że jeżeli to jest w tylu krajach, to każdy kraj ma też swoje takie rozwiązanie CRM-owe, więc my połykaliśmy te małe CRM-y, my też je przenosiliśmy, oni wewnętrznie mają zupełnie inne systemy od pewnych rzeczy, które w UK się robiło w takim systemie, nie wiem, w Hongkongu się robiło w zupełnie innym systemie.
4186920	4216840	Inna skala problemów, tam dopiero poznałem, co to znaczy w ogóle architektura, w sensie architektura taka prawdziwa, wiesz, przełożenie tego w praktyce, co oznacza, że musisz, nie wiem, diagramy, że musisz pokazać ludziom, że masz 20 deweloperów, którzy będą to później robić, jakie są konsekwencje, jeżeli nie pójdziemy, wiesz, ja też przygotowałem ten dokument, solution design dokument, który miał 60 stron ciężkiego mięsa, wiesz, na zasadzie z tych 100 czy tam 200 stron,
4216920	4228680	tego BRD, przełożenie to teraz na solution design document, bo on musiał być klepnięty przez jakichś tam, wiesz, enterprise architektów i tak dalej, więc wiesz, zrobimy przerwę może jakąś?
4229480	4235240	Możemy, jeszcze dokończymy może z tym bankiem, dobra, zrobimy przerwę.
4236200	4250600	Dobra, co tam dalej z tym bankiem? No jakby security model, później w tym banku to było ile? Trzy czy cztery lata tak naprawdę, ja tam robiłem dla nich jakieś rzeczy, tak?
4250920	4270280	Mówię, tam już zupełnie nie byłem programistą, później, czyli tam był Dynamics for Sales, ten 365 for Sales, ale też robiłem, później byłem na kolejnym projekcie, bo tam tych Dynamics to wiesz, każdy jakby zupełnie inny zespoły, później robiłem też Customer Service,
4270280	4281720	taki ten najnowszy, w którym tak naprawdę cała obsługa jakaś globalnie, czyli nie wiem, działa ci przelew, nie przeszedł ci, tak?
4281720	4282280	Tak.
4282280	4293880	To trzeba to dać znać do banku, no i my robiliśmy projekt, który miał zunifikować wszystkie platformy na świecie, takie małe, to my robiliśmy, przenosimy to w jedno miejsce.
4294600	4310520	I tam był taki wiesz, silnik Unified Routing to się nazywa, jest dostępny w Dynamics w Customer Service teraz niedawno z AI i tak dalej, on ci analizuje, czy treść była niemiła, czy miła,
4310520	4321880	ale tam wiesz, robi oczywiście to w różnych krajach, w różnych językach, więc musi też ci przetłumaczyć i on potem to routuje zgodnie z regułami routingu do różnych zespołów.
4321880	4331000	Na przykład było, nie wiem, w jakimś tam, Polska miała huba Customer Service, który obsługiwał Europę, czy coś tam, to szło to do nich, tak?
4331160	4345080	Tam też oczywiście trzeba było Security Model, tam już udało mi się ten Security Model bardzo uprościć, ale od nowa to był projekt, w którym jakby ja robiłem, no przechodziliśmy przez, oczywiście oni mieli jakiś apetyt jak to ma wyglądać,
4345080	4358600	to był zupełnie nowy projekt, w którym też się tam zaprojektowałem, bo to inna platforma, ten Security Model cały, no i różne rzeczy inne, tam integracje i tak dalej, no sporo rzeczy,
4358680	4372200	oni mają też mocną Power Platform, dużo rzeczy takich customowych typu, wiesz, napisane coś w Javie, takie wiesz, szyte na miarę, stwierdzili, że słuchajcie, ale przecież jest Power Platform, jest low-code, no-code.
4372200	4386200	Znamy Dynamicsa, sprawdziło się na dwóch największych globalnych instancjach, gdzie wiesz, tam było 12 tysięcy userów na pierwszej, a na drugiej, nie wiem, pewnie docelowo może i 30 tysięcy, nie?
4387160	4414920	No wiesz, to tam, to jest masakra, no i też różne, jakby problem też duży w takiej globalnej instancji bankach jest to, że tam są wiesz, różne wymiary, że masz, na przykład oni mieli segmenty biznesowe, że masz business banking, czyli dla takich ludzi jak ja, kontraktowiec, otwierasz sobie konto i twoja relacja z bankiem jest taka, że cieszysz się, że przelew przechodzi i widzisz, że jest i możesz przelew zrobić.
4415160	4415720	Tak.
4416120	4433960	Ale mają też górną półkę, czyli global banking, gdzie to są global bankers, się nie nazywają, to już w ogóle nie są relationship managerowie, bo by się obrazili, tylko to są bankerzy globalni, którzy wiesz, mają relacje na zasadzie klient, to jest dla nich Microsoft, nie?
4433960	4434600	Aha.
4434600	4464040	I oni rozmawiają o zupełnie innych rzeczach, oni się spotykają, tam masz wiesz, transakcje typu właśnie, nie wiem, M&A, czyli Mergers and Acquisitions, jakieś tam produkty typu GTRF, GLCM, czyli coś co pośredniczy, oni pośredniczą, że na przykład robisz biznes w Hongkongu i boisz się, żeby ktoś jest niewypłacalny czy coś, to oni za ciebie robią jakiś tam, wiesz, financing, factoring, tego typu trady.
4465560	4492360	Nie wchodziłem aż tak w szczegóły, ale zawsze lubię trochę tego biznesu jakby poznać, do czego to właściwie im jest, że wiesz, generalnie w tym Dynamixie mieliśmy te deale, czyli jak było jakieś opportunity, był lead, no to oni to trzymali tam i później na przykład senior managerowie jacyś globalni na świecie musieli widzieć tylko, wiesz, raport jakiś, ile dealów, jaki jest pipeline, ile będziemy mieli się na jutro, ile przegraliśmy i tak dalej, więc jakby do tego to się skupiało.
4492440	4506600	No a customer service to wiadomo, ile mieliśmy tikietów, ile zadowolonych klientów, niezadowolonych i żeby to szybko działało. Później jakieś boty, autoresponsy, wiesz, maila i tak dalej, zautomatyzowanie tego wszystkiego.
4507320	4519000	Czyli byłeś już tak naprawdę na szczycie łańcucha pokarmowego, jeśli chodzi o finanse w banku, już architekturę, już prawie zjadłeś tam całą?
4519960	4537000	No myślę, że trochę nieskromnie to zabrzmi, ale na pewno w architekturze masz tam jeszcze, powiedzmy, level enterprise architecture, enterprise architect, w którym obecnie jestem, to jest też ciekawe i pewnie jakiś tam trochę będziemy mogli to dopowiedzieć,
4537000	4548760	ale powiedzmy, jeśli chodzi o architekturę, jeśli chodzi o Dynamics, o ekosystem Microsoftowy, no to pewnie tak, bo ciężko już tam dalej wychodzić i teraz się zastanawiać.
4548760	4572440	Wiadomo, wykorzystujesz te kwestie biznesowe, zrozumienia biznesu i przełożenie tego na rozwiązania i proponowanie tego, później przekazanie tego w dobry sposób do deweloperów i utrzymanie tego w rydzach, w standardzie, żeby to było dalej, spełniało twoje kryteria, funkcje, żeby, wiesz, oni nie wykraczali poza pewne bariery i ciągła jakby weryfikacja tego wszystkiego.
4572760	4586680	Więc zdecydowanie pod kątem finansowym to jak najbardziej, wiesz, można byłoby powiedzieć, że nie muszę nigdzie wyjeżdżać, mogę sobie ostatnio żyć, mogę sobie, wiesz, kupić jakieś tam mieszkanie na kredyt i będzie fajnie, nie?
4586680	4608920	Piękny styl życia, wiesz, jakby ta kultura zachodnia na zasadzie piwko w środę po pracy, wszyscy jeżdżą, nikt nie jeździ autami, bo gdzie w Londynie będziesz jeździł auto? Mieliśmy przypadki, że tam jacyś jeździli, którzy jeździli bardziej z jakichś miejscówek typu, no spod Londynu też była część osób, nie?
4608920	4609480	Tak.
4609480	4621480	Którzy sobie dojeżdżali, jak wiesz, ale generalnie fajnie, bo wszyscy i metro, ja sobie łódką w ogóle pływałem, katamaranem, zresztą po Tamidzie, bo mieszkałem na…
4621480	4623480	To też był transport of London.
4623480	4625480	Tak, klikery.
4625480	4627480	Tak, to jest takie ciekawe.
